user_id,avg_daily_sessions,avg_daily_events,avg_unique_apps,avg_night_ratio,avg_session_duration,avg_short_session_ratio,avg_top_app_ratio,avg_entropy,avg_reopening_index,avg_inter_session,std_daily_sessions,max_daily_sessions,days_monitored,escalation_rate,risk_label,risk_name
0,24.1,932.6,9.9,0.1240320267262974,245.17364999977045,0.19040473200476565,0.7147476674584827,0.9916234799783765,0.8314335349089804,33.93929898402631,16.656330128012392,51.0,10,0.8538461538461538,1,MEDIUM
1,22.0,475.25,12.75,0.2351262317278075,349.67973007384774,0.19801375095492743,0.3079959416388516,2.0441254412291823,0.6618910112424263,41.56693121693122,10.392304845413264,37.0,4,0.6923076923076923,1,MEDIUM
2,20.666666666666668,396.6666666666667,11.333333333333334,0.5105475040257649,222.0170634920635,0.20145502645502644,0.33055555555555555,1.789505187820123,0.7363513679303152,48.957352941176474,13.203534880225574,35.0,3,1.0,1,MEDIUM
3,14.4,186.8,7.4,0.22757903584365638,169.5145399698341,0.1636888601594484,0.4662928964265388,1.5169358388758885,0.6838951722968925,88.29707671957672,2.9664793948382653,17.0,5,0.9333333333333333,1,MEDIUM
4,9.0,202.0,4.0,0.2623388125337986,86.66380952380953,0.1380952380952381,0.6511636335903368,0.8812473435729073,0.8240673705379586,127.39725396825398,8.093207028119323,22.0,5,0.367816091954023,2,HIGH
5,37.075,3152.675,14.875,0.22505930685093173,525.6245838630957,0.23477096741906628,0.76591846182573,0.9386658887316262,0.8983251505713185,38.31076548378056,9.751758552783945,59.0,40,0.8491271820448877,2,HIGH
6,27.363636363636363,1295.909090909091,13.575757575757576,0.4027449746572333,464.70613249758185,0.07204081316054212,0.43476557920495984,1.7732002658654573,0.7582942577103023,40.150910929515724,12.451953114416883,47.0,33,0.9104190695886197,1,MEDIUM
7,30.5,3757.0,18.5,0.5029714102152265,641.0520833333333,0.125,0.30650418102407656,2.187099919697462,0.8827139962634529,23.209816919191915,26.16295090390226,49.0,2,1.0,2,HIGH
8,9.0,358.0,11.0,0.7039106145251397,649.1111111111111,0.0,0.6368715083798883,1.3951342770940953,0.8876404494382022,90.71041666666667,0.0,9.0,1,1.0,1,MEDIUM
9,38.857142857142854,2532.714285714286,13.0,0.14975441968299621,219.77091927680164,0.20241225277989985,0.35881801058996204,1.8533520654029914,0.8904946265889782,37.377000519438944,10.205040771249136,51.0,7,1.2698019801980198,1,MEDIUM
10,9.25,42.916666666666664,2.8333333333333335,0.2664437134502924,143.8582782957783,0.14843952343952344,0.6475895755504774,0.760079941676477,0.5412944765049298,48.49259518259518,6.283094200095421,16.0,12,3.625,2,HIGH
11,29.333333333333332,2227.6,8.8,0.22723463076064085,195.26531344073055,0.22251012517605026,0.4156670451111839,1.5728275055368337,0.9380492365547508,45.80615692815107,7.441837970619382,39.0,15,0.8670814479638008,1,MEDIUM
12,18.0,338.2857142857143,12.142857142857142,0.29334320802942243,213.11100221906943,0.208775873985958,0.40621249513051677,1.7610086460729824,0.6634186894793427,54.62840209810319,14.118545723031582,37.0,7,1.2606382978723405,1,MEDIUM
13,25.333333333333332,5900.666666666667,13.666666666666666,0.4110584404420097,502.6824074074074,0.13194444444444445,0.5846421067509449,1.4945089687119912,0.9365544869719483,26.586418951418953,17.03917055884274,45.0,3,1.0,1,MEDIUM
14,11.0,183.0,5.5,0.125,170.28571428571428,0.25,0.5127777777777778,1.2531859786672503,0.9047911547911548,70.8047619047619,5.656854249492381,15.0,2,1.0,1,MEDIUM
15,35.2,830.4,14.4,0.36187808952480316,284.0166736457295,0.2784403456297773,0.24598702708596823,2.2012766342538486,0.7894784969562715,24.533,20.632498636859278,61.0,5,0.9629629629629629,2,HIGH
16,23.5,840.5,11.75,0.38385913591359133,305.06495098039215,0.15522875816993464,0.46212483572096824,1.6361758924621128,0.7439919887352813,29.046782106782107,13.30413469565007,36.0,4,0.9583333333333334,1,MEDIUM
17,25.0,308.0,9.0,0.08374792703150911,205.46153846153848,0.21794871794871795,0.4485265977803291,1.4760052767218266,0.45567729083665337,19.166304347826088,31.11269837220809,47.0,2,1.0,1,MEDIUM
18,35.53333333333333,2908.0666666666666,12.4,0.2414214854407942,339.0220788087484,0.21746265172373225,0.4192870562742043,1.796240980227839,0.9257762631800615,37.82774160260019,13.30341882303013,54.0,15,1.143939393939394,2,HIGH
19,14.5,693.5,13.5,0.08149405772495756,392.8027777777778,0.15555555555555556,0.21258792141644434,2.246426240697244,0.8462351133307722,44.147642543859654,7.7781745930520225,20.0,2,1.0,1,MEDIUM
20,11.75,63.25,5.25,0.3018747724790681,173.61875,0.05,0.44032125955587914,1.3384548340565336,0.6343623481781376,36.31404727095517,9.287087810503355,20.0,4,0.8076923076923077,1,MEDIUM
21,23.133333333333333,154.6,9.2,0.22448210736689683,162.39127042792023,0.2762464300075448,0.36213095191872124,1.7242878160033157,0.5286208832632394,41.968901061632884,13.08688911340914,42.0,15,1.0589171974522293,1,MEDIUM
22,36.75,1279.25,18.25,0.4606093334049153,540.5058531746032,0.17599206349206348,0.40440383062655744,1.8862514564900095,0.848992540133441,34.839379565735946,18.679311193581704,51.0,4,0.48484848484848486,2,HIGH
23,31.5,496.0,11.5,0.007853403141361256,195.2674825174825,0.27097902097902093,0.30638142648699684,1.999154937162848,0.7836769115442279,23.715113146551722,2.1213203435596424,33.0,2,1.0,1,MEDIUM
24,9.8,84.0,3.8,0.20142857142857143,69.66,0.2033333333333333,0.6539530644793803,0.793736780374718,0.37082334132693845,32.13258031442241,8.526429498916881,20.0,5,0.26666666666666666,1,MEDIUM
25,34.333333333333336,5549.0,16.0,0.29779287843498886,312.41397808064477,0.31937065270398607,0.29022237341929413,2.2229101773446915,0.938291500860148,29.211071749887537,6.429100507328638,39.0,3,1.0,2,HIGH
26,27.4,1394.2,10.95,0.09748816919018047,154.08610888899364,0.22362299936653388,0.3065530078488135,1.9853745088623558,0.8896650072527782,41.71386674351639,8.899438184514795,40.0,20,0.8327759197324415,1,MEDIUM
27,14.333333333333334,265.6666666666667,5.666666666666667,0.03242930726374435,103.21376811594205,0.2329988851727982,0.4507888837551551,1.3773420385685295,0.7452099780344055,77.73036975102193,9.504384952922168,24.0,3,1.0,0,LOW
28,28.0,830.0,11.5,0.5624548736462094,324.8888888888889,0.12222222222222222,0.31791270101739416,1.867294629472449,0.8238259280089989,26.159963768115944,26.870057685088806,47.0,2,1.0,1,MEDIUM
