user_id,date,total_sessions,total_events,unique_apps,night_usage_ratio,avg_session_duration,short_session_ratio,top_app_ratio,app_entropy,reopening_index,avg_inter_session
0,2018-01-16,34.0,1042.0,12.0,0.0,182.8709677419355,0.0967741935483871,0.7754318618042226,0.9522523434033656,0.8636363636363636,31.985353535353536
0,2018-01-17,7.0,40.0,7.0,0.55,30.428571428571427,0.7142857142857143,0.4,1.5917704570856426,0.5,36.48333333333334
0,2018-01-18,5.0,68.0,9.0,0.0,577.0,0.0,0.35294117647058826,1.8192111285519588,0.5172413793103449,54.69166666666666
0,2018-01-19,51.0,1581.0,14.0,0.06578115117014548,159.1860465116279,0.2558139534883721,0.8412397216951296,0.7630750224013549,0.9001297016861219,23.173666666666673
0,2018-01-22,33.0,1125.0,11.0,0.0,324.41379310344826,0.13793103448275862,0.7751111111111111,0.9475112434061983,0.912568306010929,30.81041666666667
0,2018-01-23,6.0,209.0,4.0,0.24401913875598086,241.5,0.0,0.937799043062201,0.2846400743215233,0.9803921568627451,29.570000000000004
0,2018-01-26,28.0,1302.0,11.0,0.0,376.5833333333333,0.3333333333333333,0.8233486943164362,0.7957498534918104,0.9492868462757528,35.605555555555554
0,2018-01-27,23.0,2918.0,9.0,0.28855380397532554,372.54545454545456,0.09090909090909091,0.9437971213159698,0.30809830505342634,0.9840830449826989,46.58333333333333
0,2018-01-31,10.0,95.0,7.0,0.0,46.833333333333336,0.0,0.5684210526315789,1.3639236622975435,0.8292682926829268,23.83888888888889
0,2018-02-01,44.0,946.0,15.0,0.0919661733615222,140.375,0.275,0.7293868921775899,1.0900027097709417,0.8777292576419214,26.65077519379845
1,2018-04-14,37.0,879.0,16.0,0.051194539249146756,331.51428571428573,0.14285714285714285,0.17747440273037543,2.348345387242186,0.7601078167115903,33.5337962962963
1,2018-04-15,15.0,457.0,10.0,0.3041575492341357,361.09090909090907,0.2727272727272727,0.5426695842450766,1.6549562951355572,0.8443396226415094,75.25476190476192
1,2018-04-18,21.0,336.0,13.0,0.0,313.6470588235294,0.17647058823529413,0.17559523809523808,2.243122697545708,0.5486111111111112,28.47083333333333
1,2018-04-19,15.0,229.0,12.0,0.5851528384279476,392.46666666666664,0.2,0.33624454148471616,1.9300773849932773,0.4945054945054945,29.008333333333333
2,2018-04-16,18.0,230.0,12.0,0.02608695652173913,134.83333333333334,0.2222222222222222,0.3,1.8568363579762748,0.7272727272727273,68.0235294117647
2,2018-04-17,35.0,720.0,14.0,0.5055555555555555,188.34285714285716,0.2571428571428571,0.2833333333333333,2.032337581156906,0.8589743589743589,42.12352941176471
2,2018-04-18,9.0,240.0,8.0,1.0,342.875,0.125,0.4083333333333333,1.4793416243271875,0.6228070175438597,36.725
